State,District,DT Name,CD Block,Town/Village,Ward,EB,Level,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,,
28,553,Anantapur,0971,000000,0000,000000,CD BLOCK,D.Hirehal,Total,9583,46613,23598,23015,6331,3209,3122,6882,3462,3420,891,462,429,21728,12861,8867,24885,10737,14148,24078,13828,10250,20572,12490,8082,5994,4088,1906,9723,4791,4932,324,178,146,4531,3433,1098,3506,1338,2168,292,138,154,2476,715,1761,65,37,28,673,448,225,3038,1105,1933,290,137,153,2201,643,1558,53,29,24,494,296,198,468,233,235,2,1,1,275,72,203,12,8,4,179,152,27,22535,9770,12765,,
28,553,Anantapur,0971,000000,0000,000000,CD BLOCK,D.Hirehal,Rural,9583,46613,23598,23015,6331,3209,3122,6882,3462,3420,891,462,429,21728,12861,8867,24885,10737,14148,24078,13828,10250,20572,12490,8082,5994,4088,1906,9723,4791,4932,324,178,146,4531,3433,1098,3506,1338,2168,292,138,154,2476,715,1761,65,37,28,673,448,225,3038,1105,1933,290,137,153,2201,643,1558,53,29,24,494,296,198,468,233,235,2,1,1,275,72,203,12,8,4,179,152,27,22535,9770,12765,,
28,553,Anantapur,0971,000000,0000,000000,CD BLOCK,D.Hirehal,Urban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
28,553,Anantapur,0971,594641,0000,000000,VILLAGE,Malapanagudi,Rural,191,970,482,488,157,73,84,147,77,70,0,0,0,384,236,148,586,246,340,580,287,293,566,280,286,16,11,5,533,256,277,6,4,2,11,9,2,14,7,7,0,0,0,11,5,6,1,0,1,2,2,0,14,7,7,0,0,0,11,5,6,1,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,390,195,195,,
28,553,Anantapur,0971,594642,0000,000000,VILLAGE,H.Siddapuram,Rural,325,1758,894,864,292,145,147,86,37,49,627,327,300,736,440,296,1022,454,568,784,491,293,762,478,284,64,58,6,63,24,39,0,0,0,635,396,239,22,13,9,1,1,0,1,0,1,0,0,0,20,12,8,9,5,4,1,1,0,0,0,0,0,0,0,8,4,4,13,8,5,0,0,0,1,0,1,0,0,0,12,8,4,974,403,571,,
28,553,Anantapur,0971,594643,0000,000000,VILLAGE,Obulapuram,Rural,714,3541,1816,1725,501,261,240,754,392,362,16,10,6,1846,1088,758,1695,728,967,1605,999,606,1338,885,453,186,124,62,596,304,292,26,11,15,530,446,84,267,114,153,13,8,5,178,65,113,5,3,2,71,38,33,261,110,151,13,8,5,174,63,111,4,2,2,70,37,33,6,4,2,0,0,0,4,2,2,1,1,0,1,1,0,1936,817,1119,,
28,553,Anantapur,0971,594644,0000,000000,VILLAGE,D.Hirehal,Rural,1771,8996,4567,4429,1187,627,560,840,414,426,171,86,85,4647,2673,1974,4349,1894,2455,4012,2586,1426,2874,2013,861,548,402,146,589,270,319,108,66,42,1629,1275,354,1138,573,565,74,39,35,653,207,446,32,20,12,379,307,72,728,375,353,74,39,35,399,145,254,22,14,8,233,177,56,410,198,212,0,0,0,254,62,192,10,6,4,146,130,16,4984,1981,3003,,
28,553,Anantapur,0971,594645,0000,000000,VILLAGE,H.Hossahalli,Rural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
28,553,Anantapur,0971,594646,0000,000000,VILLAGE,Lakshmipuram,Rural,32,158,90,68,29,14,15,0,0,0,0,0,0,45,30,15,113,60,53,91,51,40,50,45,5,31,31,0,17,13,4,0,0,0,2,1,1,41,6,35,0,0,0,41,6,35,0,0,0,0,0,0,41,6,35,0,0,0,41,6,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,39,28,,
28,553,Anantapur,0971,594647,0000,000000,VILLAGE,Madenahalli,Rural,269,1393,700,693,237,115,122,0,0,0,0,0,0,398,266,132,995,434,561,794,407,387,361,326,35,269,253,16,33,23,10,0,0,0,59,50,9,433,81,352,7,3,4,386,58,328,0,0,0,40,20,20,433,81,352,7,3,4,386,58,328,0,0,0,40,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,599,293,306,,
28,553,Anantapur,0971,594648,0000,000000,VILLAGE,Lingamanahalli,Rural,183,872,429,443,119,41,78,109,58,51,0,0,0,510,310,200,362,119,243,282,213,69,279,210,69,85,82,3,162,104,58,1,1,0,31,23,8,3,3,0,0,0,0,0,0,0,1,1,0,2,2,0,3,3,0,0,0,0,0,0,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,590,216,374,,
28,553,Anantapur,0971,594649,0000,000000,VILLAGE,Jajarakal,Rural,195,960,490,470,134,70,64,312,159,153,0,0,0,548,326,222,412,164,248,548,276,272,548,276,272,277,146,131,238,99,139,0,0,0,33,31,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,412,214,198,,
28,553,Anantapur,0971,594650,0000,000000,VILLAGE,Hirdehal,Rural,185,912,457,455,122,60,62,189,94,95,12,6,6,508,308,200,404,149,255,441,266,175,435,265,170,122,76,46,188,99,89,0,0,0,125,90,35,6,1,5,1,0,1,4,0,4,0,0,0,1,1,0,5,1,4,1,0,1,3,0,3,0,0,0,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,471,191,280,,
28,553,Anantapur,0971,594651,0000,000000,VILLAGE,Pulakurthi,Rural,1015,5102,2571,2531,776,383,393,628,308,320,6,2,4,2018,1203,815,3084,1368,1716,2608,1601,1007,2310,1581,729,872,714,158,1139,618,521,12,6,6,287,243,44,298,20,278,38,1,37,256,17,239,0,0,0,4,2,2,298,20,278,38,1,37,256,17,239,0,0,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2494,970,1524,,
28,553,Anantapur,0971,594652,0000,000000,VILLAGE,Nagalapuram,Rural,845,4038,2081,1957,585,298,287,586,281,305,0,0,0,1852,1169,683,2186,912,1274,2249,1239,1010,2191,1219,972,707,502,205,1286,574,712,25,14,11,173,129,44,58,20,38,1,1,0,32,8,24,14,5,9,11,6,5,55,20,35,1,1,0,30,8,22,14,5,9,10,6,4,3,0,3,0,0,0,2,0,2,0,0,0,1,0,1,1789,842,947,,
28,553,Anantapur,0971,594653,0000,000000,VILLAGE,Somalapuram,Rural,384,1712,881,831,225,109,116,441,226,215,5,2,3,990,591,399,722,290,432,734,492,242,720,488,232,134,111,23,358,199,159,6,4,2,222,174,48,14,4,10,1,0,1,3,0,3,1,0,1,9,4,5,12,3,9,1,0,1,3,0,3,1,0,1,7,3,4,2,1,1,0,0,0,0,0,0,0,0,0,2,1,1,978,389,589,,
28,553,Anantapur,0971,594654,0000,000000,VILLAGE,Kudulur,Rural,1005,4426,2211,2215,496,238,258,124,72,52,3,1,2,2115,1229,886,2311,982,1329,2611,1409,1202,2305,1257,1048,980,561,419,1027,494,533,83,38,45,215,164,51,306,152,154,17,10,7,258,120,138,4,3,1,27,19,8,283,136,147,15,9,6,245,112,133,3,2,1,20,13,7,23,16,7,2,1,1,13,8,5,1,1,0,7,6,1,1815,802,1013,,
28,553,Anantapur,0971,594655,0000,000000,VILLAGE,Dodagatta,Rural,252,1145,560,585,126,69,57,288,146,142,0,0,0,491,283,208,654,277,377,746,354,392,166,87,79,119,62,57,36,17,19,0,0,0,11,8,3,580,267,313,57,42,15,512,214,298,5,5,0,6,6,0,579,266,313,57,42,15,512,214,298,5,5,0,5,5,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,399,206,193,,
28,553,Anantapur,0971,594656,0000,000000,VILLAGE,Kadalur,Rural,489,2365,1164,1201,298,160,138,495,235,260,3,1,2,1222,685,537,1143,479,664,1354,693,661,1254,684,570,533,292,241,525,247,278,11,8,3,185,137,48,100,9,91,24,2,22,9,0,9,1,0,1,66,7,59,100,9,91,24,2,22,9,0,9,1,0,1,66,7,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011,471,540,,
28,553,Anantapur,0971,594657,0000,000000,VILLAGE,Hulikal,Rural,437,2120,1058,1062,255,135,120,255,123,132,0,0,0,884,497,387,1236,561,675,1226,640,586,1216,634,582,188,153,35,780,313,467,8,7,1,240,161,79,10,6,4,2,1,1,2,1,1,0,0,0,6,4,2,10,6,4,2,1,1,2,1,1,0,0,0,6,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,894,418,476,,
28,553,Anantapur,0971,594658,0000,000000,VILLAGE,Muradi,Rural,1291,6145,3147,2998,792,411,381,1628,840,788,48,27,21,2534,1527,1007,3611,1620,1991,3413,1824,1589,3197,1762,1435,863,510,353,2153,1137,1016,38,19,19,143,96,47,216,62,154,56,30,26,130,14,116,1,0,1,29,18,11,207,57,150,56,30,26,130,14,116,1,0,1,20,13,7,9,5,4,0,0,0,0,0,0,0,0,0,9,5,4,2732,1323,1409,,
28,553,Anantapur,0972,000000,0000,000000,CD BLOCK,Rayadurg,Total,8661,40942,20976,19966,4992,2582,2410,7895,4086,3809,2127,1114,1013,17878,10929,6949,23064,10047,13017,23816,12954,10862,19292,11015,8277,6294,4149,2145,10671,5179,5492,161,83,78,2166,1604,562,4524,1939,2585,414,240,174,3607,1444,2163,42,19,23,461,236,225,3999,1712,2287,294,169,125,3270,1305,1965,39,19,20,396,219,177,525,227,298,120,71,49,337,139,198,3,0,3,65,17,48,17126,8022,9104,,
28,553,Anantapur,0972,000000,0000,000000,CD BLOCK,Rayadurg,Rural,8661,40942,20976,19966,4992,2582,2410,7895,4086,3809,2127,1114,1013,17878,10929,6949,23064,10047,13017,23816,12954,10862,19292,11015,8277,6294,4149,2145,10671,5179,5492,161,83,78,2166,1604,562,4524,1939,2585,414,240,174,3607,1444,2163,42,19,23,461,236,225,3999,1712,2287,294,169,125,3270,1305,1965,39,19,20,396,219,177,525,227,298,120,71,49,337,139,198,3,0,3,65,17,48,17126,8022,9104,,
28,553,Anantapur,0972,000000,0000,000000,CD BLOCK,Rayadurg,Urban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
28,553,Anantapur,0972,594659,0000,000000,VILLAGE,Mechiri,Rural,381,1946,1003,943,253,136,117,325,177,148,2,0,2,818,491,327,1128,512,616,1112,618,494,1083,607,476,402,276,126,618,283,335,6,4,2,57,44,13,29,11,18,3,2,1,26,9,17,0,0,0,0,0,0,21,11,10,3,2,1,18,9,9,0,0,0,0,0,0,8,0,8,0,0,0,8,0,8,0,0,0,0,0,0,834,385,449,,
28,553,Anantapur,0972,594660,0000,000000,VILLAGE,Mallapuram,Rural,796,3720,1893,1827,474,227,247,706,356,350,252,135,117,1443,870,573,2277,1023,1254,2266,1196,1070,2005,1139,866,548,402,146,1207,556,651,13,5,8,237,176,61,261,57,204,33,7,26,210,47,163,0,0,0,18,3,15,212,28,184,25,2,23,175,25,150,0,0,0,12,1,11,49,29,20,8,5,3,35,22,13,0,0,0,6,2,4,1454,697,757,,
28,553,Anantapur,0972,594661,0000,000000,VILLAGE,Chadam,Rural,699,3417,1789,1628,414,223,191,558,301,257,6,2,4,1454,979,475,1963,810,1153,2167,1171,996,1838,1060,778,490,308,182,879,412,467,11,6,5,458,334,124,329,111,218,7,4,3,148,20,128,10,7,3,164,80,84,277,105,172,5,2,3,124,19,105,9,7,2,139,77,62,52,6,46,2,2,0,24,1,23,1,0,1,25,3,22,1250,618,632,,
28,553,Anantapur,0972,594662,0000,000000,VILLAGE,Bondankal,Rural,504,2454,1274,1180,271,140,131,399,212,187,1183,616,567,1168,717,451,1286,557,729,1497,800,697,126,93,33,47,40,7,39,20,19,12,11,1,28,22,6,1371,707,664,116,71,45,1162,581,581,15,5,10,78,50,28,1357,698,659,114,70,44,1151,573,578,14,5,9,78,50,28,14,9,5,2,1,1,11,8,3,1,0,1,0,0,0,957,474,483,,
28,553,Anantapur,0972,594663,0000,000000,VILLAGE,Gramadatla,Rural,987,4528,2310,2218,514,264,250,931,490,441,7,4,3,1938,1200,738,2590,1110,1480,2858,1519,1339,2679,1460,1219,1538,857,681,1032,525,507,2,1,1,107,77,30,179,59,120,58,27,31,93,20,73,0,0,0,28,12,16,132,38,94,21,8,13,86,20,66,0,0,0,25,10,15,47,21,26,37,19,18,7,0,7,0,0,0,3,2,1,1670,791,879,,
28,553,Anantapur,0972,594664,0000,000000,VILLAGE,D.Kondapuram,Rural,614,2804,1426,1378,355,170,185,58,33,25,0,0,0,924,581,343,1880,845,1035,1271,779,492,985,714,271,333,300,33,627,396,231,0,0,0,25,18,7,286,65,221,20,18,2,231,31,200,2,1,1,33,15,18,260,52,208,14,13,1,224,28,196,2,1,1,20,10,10,26,13,13,6,5,1,7,3,4,0,0,0,13,5,8,1533,647,886,,
28,553,Anantapur,0972,594665,0000,000000,VILLAGE,Vadrahonnur,Rural,290,1442,748,694,168,95,73,132,71,61,0,0,0,618,375,243,824,373,451,935,504,431,760,442,318,295,199,96,424,211,213,0,0,0,41,32,9,175,62,113,38,24,14,133,38,95,0,0,0,4,0,4,131,34,97,0,0,0,128,34,94,0,0,0,3,0,3,44,28,16,38,24,14,5,4,1,0,0,0,1,0,1,507,244,263,,
28,553,Anantapur,0972,594666,0000,000000,VILLAGE,Kontanapalli,Rural,223,1260,665,595,169,97,72,345,175,170,0,0,0,650,406,244,610,259,351,701,418,283,559,378,181,154,134,20,287,144,143,7,7,0,111,93,18,142,40,102,14,12,2,106,18,88,1,0,1,21,10,11,136,39,97,14,12,2,101,17,84,1,0,1,20,10,10,6,1,5,0,0,0,5,1,4,0,0,0,1,0,1,559,247,312,,
28,553,Anantapur,0972,594667,0000,000000,VILLAGE,Udegolam,Rural,812,4192,2139,2053,590,293,297,1641,856,785,11,5,6,2031,1211,820,2161,928,1233,2073,1261,812,2014,1230,784,415,356,59,1156,546,610,5,1,4,438,327,111,59,31,28,4,3,1,36,22,14,0,0,0,19,6,13,57,30,27,4,3,1,35,21,14,0,0,0,18,6,12,2,1,1,0,0,0,1,1,0,0,0,0,1,0,1,2119,878,1241,,
28,553,Anantapur,0972,594668,0000,000000,VILLAGE,Baginayakana Halli,Rural,645,3042,1563,1479,382,220,162,507,256,251,33,14,19,1599,925,674,1443,638,805,1781,940,841,1635,895,740,464,273,191,841,401,440,79,36,43,251,185,66,146,45,101,7,4,3,113,30,83,4,0,4,22,11,11,121,39,82,5,4,1,94,26,68,4,0,4,18,9,9,25,6,19,2,0,2,19,4,15,0,0,0,4,2,2,1261,623,638,,
28,553,Anantapur,0972,594669,0000,000000,VILLAGE,Avuladatla,Rural,384,1776,946,830,210,112,98,279,141,138,631,337,294,786,507,279,990,439,551,915,509,406,672,391,281,230,160,70,394,194,200,8,6,2,40,31,9,243,118,125,19,11,8,202,89,113,3,2,1,19,16,3,232,114,118,17,9,8,194,87,107,3,2,1,18,16,2,11,4,7,2,2,0,8,2,6,0,0,0,1,0,1,861,437,424,,
28,553,Anantapur,0972,594670,0000,000000,VILLAGE,Nagireddipalle,Rural,452,2057,1030,1027,232,116,116,389,201,188,0,0,0,746,473,273,1311,557,754,1167,630,537,1132,615,517,328,251,77,732,319,413,10,3,7,62,42,20,35,15,20,1,0,1,33,14,19,0,0,0,1,1,0,34,15,19,1,0,1,32,14,18,0,0,0,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,890,400,490,,
28,553,Anantapur,0972,594671,0000,000000,VILLAGE,Veparalla,Rural,1059,4640,2342,2298,577,297,280,829,420,409,0,0,0,1897,1127,770,2743,1215,1528,2876,1457,1419,2573,1332,1241,561,297,264,1811,895,916,4,0,4,197,140,57,303,125,178,49,22,27,231,92,139,0,0,0,23,11,12,144,48,96,29,10,19,98,29,69,0,0,0,17,9,8,159,77,82,20,12,8,133,63,70,0,0,0,6,2,4,1764,885,879,,
28,553,Anantapur,0972,594672,0000,000000,VILLAGE,Junjurampalle,Rural,815,3664,1848,1816,383,192,191,796,397,399,2,1,1,1806,1067,739,1858,781,1077,2197,1152,1045,1231,659,572,489,296,193,624,277,347,4,3,1,114,83,31,966,493,473,45,35,10,883,433,450,7,4,3,31,21,10,885,461,424,42,34,8,810,403,407,6,4,2,27,20,7,81,32,49,3,1,2,73,30,43,1,0,1,4,1,3,1467,696,771,,
28,553,Anantapur,0973,000000,0000,000000,CD BLOCK,Kanekal,Total,13923,64979,32908,32071,7701,4064,3637,9872,5001,4871,205,110,95,31666,18589,13077,33313,14319,18994,35129,19867,15262,30487,18018,12469,7938,5626,2312,16990,8182,8808,490,269,221,5069,3941,1128,4642,1849,2793,738,406,332,3022,988,2034,93,35,58,789,420,369,4344,1765,2579,670,394,276,2865,954,1911,84,34,50,725,383,342,298,84,214,68,12,56,157,34,123,9,1,8,64,37,27,29850,13041,16809,,
28,553,Anantapur,0973,000000,0000,000000,CD BLOCK,Kanekal,Rural,13923,64979,32908,32071,7701,4064,3637,9872,5001,4871,205,110,95,31666,18589,13077,33313,14319,18994,35129,19867,15262,30487,18018,12469,7938,5626,2312,16990,8182,8808,490,269,221,5069,3941,1128,4642,1849,2793,738,406,332,3022,988,2034,93,35,58,789,420,369,4344,1765,2579,670,394,276,2865,954,1911,84,34,50,725,383,342,298,84,214,68,12,56,157,34,123,9,1,8,64,37,27,29850,13041,16809,,
28,553,Anantapur,0973,000000,0000,000000,CD BLOCK,Kanekal,Urban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
28,553,Anantapur,0973,594673,0000,000000,VILLAGE,Ganigera,Rural,1226,5523,2795,2728,665,348,317,1121,579,542,5,4,1,2586,1551,1035,2937,1244,1693,3232,1660,1572,3028,1608,1420,1062,668,394,1837,851,986,22,10,12,107,79,28,204,52,152,51,3,48,140,41,99,3,2,1,10,6,4,132,50,82,23,3,20,99,39,60,3,2,1,7,6,1,72,2,70,28,0,28,41,2,39,0,0,0,3,0,3,2291,1135,1156,,
28,553,Anantapur,0973,594674,0000,000000,VILLAGE,Yerragunta,Rural,1419,6606,3373,3233,716,377,339,748,406,342,29,19,10,2768,1631,1137,3838,1742,2096,3785,2104,1681,3144,1832,1312,1124,712,412,1677,875,802,106,61,45,237,184,53,641,272,369,65,25,40,501,212,289,10,5,5,65,30,35,614,261,353,58,25,33,485,202,283,9,5,4,62,29,33,27,11,16,7,0,7,16,10,6,1,0,1,3,1,2,2821,1269,1552,,
28,553,Anantapur,0973,594675,0000,000000,VILLAGE,Hulikera,Rural,1283,5926,3074,2852,690,354,336,983,496,487,5,2,3,2587,1564,1023,3339,1510,1829,3506,1927,1579,2931,1737,1194,992,708,284,1648,837,811,63,34,29,228,158,70,575,190,385,169,89,80,277,30,247,20,12,8,109,59,50,556,181,375,160,85,75,274,30,244,20,12,8,102,54,48,19,9,10,9,4,5,3,0,3,0,0,0,7,5,2,2420,1147,1273,,
28,553,Anantapur,0973,594676,0000,000000,VILLAGE,Bennikal,Rural,495,2075,1067,1008,267,139,128,195,93,102,4,3,1,959,575,384,1116,492,624,1221,669,552,1171,655,516,198,118,80,812,431,381,36,20,16,125,86,39,50,14,36,3,2,1,37,7,30,0,0,0,10,5,5,50,14,36,3,2,1,37,7,30,0,0,0,10,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,854,398,456,,
28,553,Anantapur,0973,594677,0000,000000,VILLAGE,Ratchumarri,Rural,406,1950,959,991,248,131,117,378,176,202,0,0,0,823,480,343,1127,479,648,1184,573,611,873,487,386,398,227,171,423,219,204,5,5,0,47,36,11,311,86,225,15,5,10,277,73,204,1,0,1,18,8,10,308,86,222,15,5,10,274,73,201,1,0,1,18,8,10,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,766,386,380,,
28,553,Anantapur,0973,594678,0000,000000,VILLAGE,Kanekal,Rural,4268,19731,9902,9829,2375,1258,1117,1885,926,959,139,70,69,10853,6129,4724,8878,3773,5105,9523,5928,3595,8556,5534,3022,1875,1351,524,3398,1632,1766,132,65,67,3151,2486,665,967,394,573,80,25,55,454,144,310,43,13,30,390,212,178,879,360,519,72,23,49,423,136,287,37,13,24,347,188,159,88,34,54,8,2,6,31,8,23,6,0,6,43,24,19,10208,3974,6234,,
