State,District,DT Name,CD Block,Town/Village,Ward,EB,Level,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F
28,538,Mahbubnagar,225,0,0,0,CD BLOCK,Kodangal,Total,10981,53673,26545,27128,7226,3718,3508,10420,5130,5290,2972,1484,1488,25212,14704,10508,28461,11841,16620,26261,14509,11752,20956,12498,8458,6758,4707,2051,9242,3862,5380,568,387,181,4388,3542,846,5305,2011,3294,373,111,262,3882,1286,2596,215,73,142,835,541,294,4898,1875,3023,326,99,227,3631,1220,2411,191,62,129,750,494,256,407,136,271,47,12,35,251,66,185,24,11,13,85,47,38,27412,12036,15376
28,538,Mahbubnagar,225,0,0,0,CD BLOCK,Kodangal,Rural,10981,53673,26545,27128,7226,3718,3508,10420,5130,5290,2972,1484,1488,25212,14704,10508,28461,11841,16620,26261,14509,11752,20956,12498,8458,6758,4707,2051,9242,3862,5380,568,387,181,4388,3542,846,5305,2011,3294,373,111,262,3882,1286,2596,215,73,142,835,541,294,4898,1875,3023,326,99,227,3631,1220,2411,191,62,129,750,494,256,407,136,271,47,12,35,251,66,185,24,11,13,85,47,38,27412,12036,15376
28,538,Mahbubnagar,225,0,0,0,CD BLOCK,Kodangal,Urban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,538,Mahbubnagar,225,574899,0,0,VILLAGE,Rudraram,Rural,1209,6041,3026,3015,787,408,379,1762,882,880,379,191,188,2715,1639,1076,3326,1387,1939,3079,1656,1423,2472,1467,1005,942,633,309,1175,540,635,23,18,5,332,276,56,607,189,418,12,3,9,529,148,381,8,1,7,58,37,21,535,171,364,11,3,8,474,140,334,7,0,7,43,28,15,72,18,54,1,0,1,55,8,47,1,1,0,15,9,6,2962,1370,1592
28,538,Mahbubnagar,225,574900,0,0,VILLAGE,Nagaram,Rural,180,877,439,438,94,46,48,329,167,162,0,0,0,476,277,199,401,162,239,510,281,229,508,280,228,106,76,30,381,187,194,4,4,0,17,13,4,2,1,1,0,0,0,2,1,1,0,0,0,0,0,0,2,1,1,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,367,158,209
28,538,Mahbubnagar,225,574901,0,0,VILLAGE,Annaram,Rural,371,1739,880,859,229,113,116,522,272,250,0,0,0,732,460,272,1007,420,587,1010,550,460,524,396,128,282,271,11,154,50,104,3,3,0,85,72,13,486,154,332,175,9,166,268,106,162,0,0,0,43,39,4,442,146,296,139,2,137,262,106,156,0,0,0,41,38,3,44,8,36,36,7,29,6,0,6,0,0,0,2,1,1,729,330,399
28,538,Mahbubnagar,225,574902,0,0,VILLAGE,Chitlapalle,Rural,527,2902,1468,1434,486,261,225,421,215,206,592,299,293,1034,620,414,1868,848,1020,1533,806,727,1493,787,706,420,314,106,830,294,536,6,5,1,237,174,63,40,19,21,3,0,3,22,8,14,1,0,1,14,11,3,38,18,20,3,0,3,21,8,13,1,0,1,13,10,3,2,1,1,0,0,0,1,0,1,0,0,0,1,1,0,1369,662,707
28,538,Mahbubnagar,225,574903,0,0,VILLAGE,Appaipalle,Rural,311,1433,700,733,234,122,112,189,89,100,4,2,2,602,338,264,831,362,469,749,372,377,685,339,346,18,11,7,570,253,317,20,12,8,77,63,14,64,33,31,5,5,0,20,7,13,7,5,2,32,16,16,60,32,28,5,5,0,18,6,12,7,5,2,30,16,14,4,1,3,0,0,0,2,1,1,0,0,0,2,0,2,684,328,356
28,538,Mahbubnagar,225,574904,0,0,VILLAGE,Udimeswar,Rural,210,1005,498,507,141,72,69,366,187,179,0,0,0,438,264,174,567,234,333,533,276,257,526,273,253,108,97,11,359,130,229,2,2,0,57,44,13,7,3,4,0,0,0,5,2,3,0,0,0,2,1,1,5,1,4,0,0,0,4,1,3,0,0,0,1,0,1,2,2,0,0,0,0,1,1,0,0,0,0,1,1,0,472,222,250
28,538,Mahbubnagar,225,574905,0,0,VILLAGE,Kodangal,Rural,3052,14294,7051,7243,1873,962,911,1832,893,939,447,226,221,8386,4695,3691,5908,2356,3552,6130,3756,2374,4519,3050,1469,790,538,252,1375,609,766,261,163,98,2093,1740,353,1611,706,905,25,12,13,1107,423,684,129,39,90,350,232,118,1451,654,797,22,11,11,1010,401,609,108,30,78,311,212,99,160,52,108,3,1,2,97,22,75,21,9,12,39,20,19,8164,3295,4869
