State,District,DT Name,CD Block,Town/Village,Ward,EB,Level,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,,
28,549,Prakasam,0765,000000,0000,000000,CD BLOCK,Yerragondapalem,Total,14558,64063,33160,30903,8769,4568,4201,15361,7918,7443,6910,3805,3105,30787,19207,11580,33276,13953,19323,33817,18401,15416,30105,17300,12805,8116,5168,2948,17340,8343,8997,281,203,78,4368,3586,782,3712,1101,2611,247,53,194,2733,731,2002,55,28,27,677,289,388,3556,1051,2505,228,51,177,2627,700,1927,51,27,24,650,273,377,156,50,106,19,2,17,106,31,75,4,1,3,27,16,11,30246,14759,15487,,
28,549,Prakasam,0765,000000,0000,000000,CD BLOCK,Yerragondapalem,Rural,14558,64063,33160,30903,8769,4568,4201,15361,7918,7443,6910,3805,3105,30787,19207,11580,33276,13953,19323,33817,18401,15416,30105,17300,12805,8116,5168,2948,17340,8343,8997,281,203,78,4368,3586,782,3712,1101,2611,247,53,194,2733,731,2002,55,28,27,677,289,388,3556,1051,2505,228,51,177,2627,700,1927,51,27,24,650,273,377,156,50,106,19,2,17,106,31,75,4,1,3,27,16,11,30246,14759,15487,,
28,549,Prakasam,0765,000000,0000,000000,CD BLOCK,Yerragondapalem,Urban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
28,549,Prakasam,0765,590514,0000,000000,VILLAGE,Palutla,Rural,236,1187,647,540,127,76,51,0,0,0,1154,624,530,743,451,292,444,196,248,599,302,297,521,259,262,107,76,31,395,172,223,1,0,1,18,11,7,78,43,35,4,3,1,2,0,2,2,1,1,70,39,31,77,43,34,4,3,1,2,0,2,1,1,0,70,39,31,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,588,345,243,,
28,549,Prakasam,0765,590515,0000,000000,VILLAGE,Nekkanti,Rural,38,139,68,71,19,8,11,0,0,0,138,67,71,38,24,14,101,44,57,77,38,39,77,38,39,3,3,0,74,35,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,30,32,,
28,549,Prakasam,0765,590516,0000,000000,VILLAGE,Guttalacheruvu,Rural,46,181,99,82,25,12,13,0,0,0,181,99,82,79,49,30,102,50,52,98,47,51,95,45,50,11,11,0,82,34,48,0,0,0,2,0,2,3,2,1,1,0,1,0,0,0,1,1,0,1,1,0,3,2,1,1,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,52,31,,
28,549,Prakasam,0765,590517,0000,000000,VILLAGE,Allatam,Rural,41,142,76,66,24,13,11,0,0,0,89,51,38,76,46,30,66,30,36,84,44,40,84,44,40,0,0,0,84,44,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,32,26,,
28,549,Prakasam,0765,590518,0000,000000,VILLAGE,Ponnala Bayalu,Rural,30,99,55,44,23,15,8,0,0,0,99,55,44,26,18,8,73,37,36,51,25,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,25,26,0,0,0,51,25,26,0,0,0,0,0,0,51,25,26,0,0,0,51,25,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,30,18,,
28,549,Prakasam,0765,590519,0000,000000,VILLAGE,Naruthadikala,Rural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
28,549,Prakasam,0765,590520,0000,000000,VILLAGE,Suddakunta Penta,Rural,6,17,9,8,2,2,0,0,0,0,17,9,8,0,0,0,17,9,8,11,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,6,0,0,0,11,5,6,0,0,0,0,0,0,11,5,6,0,0,0,11,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,2,,
