State,District,DT Name,CD Block,Town/Village,Ward,EB,Level,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,,
28,548,Guntur,0708,000000,0000,000000,CD BLOCK,Macherla,Total,13841,55758,28686,27072,7056,3722,3334,8409,4040,4369,10815,5901,4914,26674,16498,10176,29084,12188,16896,30702,15886,14816,27106,14620,12486,5243,3236,2007,17987,8284,9703,207,136,71,3669,2964,705,3596,1266,2330,116,43,73,3126,1027,2099,29,13,16,325,183,142,3296,1214,2082,107,40,67,2859,990,1869,26,12,14,304,172,132,300,52,248,9,3,6,267,37,230,3,1,2,21,11,10,25056,12800,12256,,
28,548,Guntur,0708,000000,0000,000000,CD BLOCK,Macherla,Rural,13841,55758,28686,27072,7056,3722,3334,8409,4040,4369,10815,5901,4914,26674,16498,10176,29084,12188,16896,30702,15886,14816,27106,14620,12486,5243,3236,2007,17987,8284,9703,207,136,71,3669,2964,705,3596,1266,2330,116,43,73,3126,1027,2099,29,13,16,325,183,142,3296,1214,2082,107,40,67,2859,990,1869,26,12,14,304,172,132,300,52,248,9,3,6,267,37,230,3,1,2,21,11,10,25056,12800,12256,,
28,548,Guntur,0708,000000,0000,000000,CD BLOCK,Macherla,Urban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
28,548,Guntur,0708,589798,0000,000000,VILLAGE,Vijayapuri South,Rural,1763,8393,4597,3796,725,374,351,2291,980,1311,1319,998,321,6149,3710,2439,2244,887,1357,2770,1813,957,2226,1680,546,34,30,4,346,162,184,60,37,23,1786,1451,335,544,133,411,12,8,4,390,57,333,9,4,5,133,64,69,355,123,232,10,7,3,214,54,160,7,3,4,124,59,65,189,10,179,2,1,1,176,3,173,2,1,1,9,5,4,5623,2784,2839,,
28,548,Guntur,0708,589799,0000,000000,VILLAGE,Pullareddigudem,Rural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
28,548,Guntur,0708,589800,0000,000000,VILLAGE,Nagulavaram,Rural,1563,6444,3366,3078,983,556,427,799,408,391,3335,1767,1568,2370,1551,819,4074,1815,2259,3751,1842,1909,3144,1697,1447,599,427,172,2354,1114,1240,6,4,2,185,152,33,607,145,462,6,1,5,593,138,455,0,0,0,8,6,2,557,122,435,3,0,3,546,116,430,0,0,0,8,6,2,50,23,27,3,1,2,47,22,25,0,0,0,0,0,0,2693,1524,1169,,
28,548,Guntur,0708,589801,0000,000000,VILLAGE,Koppunur,Rural,1776,7428,3869,3559,1103,584,519,1170,597,573,2604,1400,1204,3239,2117,1122,4189,1752,2437,4260,2097,2163,3221,1635,1586,621,360,261,2406,1128,1278,27,20,7,167,127,40,1039,462,577,22,5,17,992,448,544,0,0,0,25,9,16,1034,462,572,22,5,17,989,448,541,0,0,0,23,9,14,5,0,5,0,0,0,3,0,3,0,0,0,2,0,2,3168,1772,1396,,
28,548,Guntur,0708,589802,0000,000000,VILLAGE,Pasuvemula,Rural,1229,4763,2420,2343,692,376,316,396,188,208,1501,748,753,1821,1144,677,2942,1276,1666,2830,1438,1392,2154,1204,950,280,252,28,1699,807,892,9,5,4,166,140,26,676,234,442,51,20,31,555,164,391,7,3,4,63,47,16,647,221,426,48,19,29,533,155,378,7,3,4,59,44,15,29,13,16,3,1,2,22,9,13,0,0,0,4,3,1,1933,982,951,,
28,548,Guntur,0708,589803,0000,000000,VILLAGE,Thallapalle,Rural,1110,4384,2108,2276,632,312,320,346,154,192,711,310,401,1798,1041,757,2586,1067,1519,2517,1247,1270,2476,1234,1242,83,59,24,2155,977,1178,15,13,2,223,185,38,41,13,28,2,1,1,36,11,25,0,0,0,3,1,2,36,11,25,2,1,1,31,9,22,0,0,0,3,1,2,5,2,3,0,0,0,5,2,3,0,0,0,0,0,0,1867,861,1006,,
28,548,Guntur,0708,589804,0000,000000,VILLAGE,Kothapalle,Rural,1603,5992,3041,2951,743,383,360,1339,685,654,561,292,269,2639,1604,1035,3353,1437,1916,3590,1802,1788,3540,1796,1744,715,409,306,2576,1203,1373,16,8,8,233,176,57,50,6,44,4,0,4,39,4,35,1,1,0,6,1,5,43,5,38,3,0,3,34,3,31,1,1,0,5,1,4,7,1,6,1,0,1,5,1,4,0,0,0,1,0,1,2402,1239,1163,,
