571742,Yellampalle+Karimnagar+Telangana 505514
577811,Kailapur+Warangal+Telangana 506356
570716,Fathenagar+Nizamabad+Telangana 503245
571659,Mahitapur+Karimnagar+Telangana 505460
572578,Mudimanikyam+Karimnagar+Telangana 505481
577806,Tekumatta+Warangal+Telangana 506356
569391,"Balaji Ankoda"+Adilabad+Telangana 504299
571718,Kishanraopeta+Karimnagar+Telangana 505526
571051,"Thadi Hipperga"+Nizamabad+Telangana 503309
569668,Mohada+Adilabad+Telangana 504307
569501,Babapur+Adilabad+Telangana 504293
573756,"Mohammadabad @ Janakampet"+Medak+Telangana 502313
574124,Pothaipalle+Rangareddy+Telangana 500078
574388,Sultanpur+Rangareddy+Telangana 501106
574382,Rompalle+Rangareddy+Telangana 501106
575952,Puranapalem+Mahbubnagar+Telangana 509125
576322,Govardhangiri+Mahbubnagar+Telangana 146361
579741,Mathkepalle+Khammam+Telangana 507208
572765,Bellapur+Medak+Telangana 502286
572747,Morgi+Medak+Telangana 502286
573064,Kuknurpalle+Medak+Telangana 502301
576823,"Jiblak Palle"+Nalgonda+Telangana 508284
570708,Pothangal+Nizamabad+Telangana 503234
572523,Mallapur+Karimnagar+Telangana 505469
572858,Kollapalle+Medak+Telangana 502271
573651,Gopalpur+Medak+Telangana 502312
579492,Annadevam+Khammam+Telangana 507316
573079,Venkatraopet+Medak+Telangana 502278
572473,Jawaharpet+Karimnagar+Telangana 505530
573672,Nacharam+Medak+Telangana 502334
575429,Ayyawarpalle+Mahbubnagar+Telangana 509371
579700,Vallapuram+Khammam+Telangana 507158
576576,Phanigiri+Nalgonda+Telangana 508272
574877,Loyapalle+Rangareddy+Telangana 508245
573497,Vendikole+Medak+Telangana 502273
570039,Islampur+Adilabad+Telangana 504202
579783,Basavapuram+Khammam+Telangana 507167
576348,Chintalapalle+Mahbubnagar+Telangana 509105
572533,Korkal(Jangampalle)+Karimnagar+Telangana 505502
575456,Chinnajatram+Mahbubnagar+Telangana 509205
570491,Sonapur+Adilabad+Telangana 504218
569283,Nishani+Adilabad+Telangana 504293
575528,Jeenugurala+Mahbubnagar+Telangana 509204
570248,Boregaon+Adilabad+Telangana 504101
579056,Nellipaka+Khammam+Telangana 507129
570008,Mankapur+Adilabad+Telangana 504294
572647,Jupak+Karimnagar+Telangana 505498
574150,"Nagaram (CT)"+Rangareddy+Telangana 500083
571353,Medpalle+Nizamabad+Telangana 503122
577370,Medaram+Nalgonda+Telangana 508266
577900,Dodla+Warangal+Telangana 506165
570829,Hasakothur+Nizamabad+Telangana 503308
571497,Kondapur+Nizamabad+Telangana 503122
571973,Tharupalle+Karimnagar+Telangana 505153
570380,Laxmanchanda+Adilabad+Telangana 504106
573875,Ismailkhanpet+Medak+Telangana 502294
573989,Damasthapur+Rangareddy+Telangana 501203
571247,Lolam+Nizamabad+Telangana 503164
579343,Morampalle+Khammam+Telangana 507114
575417,Chanmanpalle+Mahbubnagar+Telangana 509371
571673,Kandlapalle+Karimnagar+Telangana 505454
575630,"Lakshmapur (B.K)"+Mahbubnagar+Telangana 509201
572597,Gottalamitta+Karimnagar+Telangana 505481
575181,Chattanpalle+Mahbubnagar+Telangana 509216
571162,Barangedgi+Nizamabad+Telangana 503321
571208,Varni+Nizamabad+Telangana 503201
570645,Kistapur+Adilabad+Telangana 504216
578616,Kommulavancha+Warangal+Telangana 506324
574533,Mukundapur+Rangareddy+Telangana 501144
570634,Tekumatla+Adilabad+Telangana 504216
573824,Babilgaon+Medak+Telangana 502291
572524,Polampalle+Karimnagar+Telangana 505469
573005,Chowdaram+Medak+Telangana 502310
574019,Cheemaldari+Rangareddy+Telangana 501111
575549,Pothulamadugu+Mahbubnagar+Telangana 509382
576659,Uppalancha+Nalgonda+Telangana 508210
571308,Sadasivanagar+Nizamabad+Telangana 503145
578406,Govindapur+Warangal+Telangana 506135
573697,Kothur+Medak+Telangana 506352
569097,Ramkam+Adilabad+Telangana 504309
573111,"Narasampalle (Patti Dommat)"+Medak+Telangana 502247
575658,Zapthisadgode+Mahbubnagar+Telangana 509376
570046,Singapur+Adilabad+Telangana 504202
574053,Hussainipur+Rangareddy+Telangana 501203
