574489,Ekmai, Andhra Pradesh, India,17.1816,77.3956,17.2015,77.4194,17.1558,77.3644
577495,Thunga Pahad, Telangana 508207, India,16.8142,79.5098,16.863,79.5241,16.7736,79.4869
579007,Bheemavaram, Telangana 507164, India,17.1299,80.817,17.1372,80.8204,17.1271,80.8128
570246,Chintakunta, Telangana, India,18.9902,78.0281,19.0099,78.0534,18.9748,78.0084
578309,Nallabelli, Telangana 506349, India,18.0419,79.8624,,,,
575470,Bapu Nagar, Narayanpet, Telangana 509210, India,16.7425,77.505,16.7436,77.5058,16.7421,77.5033
575243,Kakunoor, Telangana 509408, India,16.9111,78.2989,16.9357,78.3361,16.891,78.2823
574286,Nyalata, Telangana, India,17.3531,78.1051,17.3766,78.1198,17.3171,78.0861
577884,Etur, Telangana 506165, India,18.4637,80.3791,18.4669,80.3809,18.4613,80.3761
572232,Mothe, Telangana 505531, India,18.5425,79.0822,18.5463,79.085,18.5392,79.08
63,KPHB 5th Phase, Kukatpally, Hyderabad, Telangana, India,17.4785,78.392,17.4846,78.395,17.4731,78.3889
578852,Gannavaram, Telangana 507133, India,18.0985,80.8184,18.1061,80.8239,18.0909,80.8123
572048,Raghavapatnam, Telangana 505532, India,18.7656,79.0278,18.7689,79.0367,18.7578,79.0225
571225,Suddepalle, Telangana, India,18.6211,78.2419,18.6376,78.2582,18.6005,78.2164
577602,Adlur, Telangana 508246, India,16.7025,79.9717,16.7064,79.975,16.7002,79.9701
575377,Chintaboinpalle, Telangana 509301, India,16.7288,78.108,16.7391,78.1166,16.7228,78.0951
576294,Sindanur, Telangana 509129, India,15.9699,77.5243,15.9722,77.5269,15.9685,77.5209
569610,Madapur, Telangana, India,19.4301,78.4951,19.4427,78.5103,19.4106,78.4739
579012,Kommanapalle, Telangana 507129, India,17.7705,81.0837,17.7823,81.0919,17.7635,81.0776
574544,Gudur, Telangana, India,17.1117,77.9082,17.1241,77.919,17.0981,77.8939
575349,Wadiyal, Telangana, India,16.7601,78.2989,16.7774,78.3368,16.7388,78.2825
577487,Telangana 508207, India,16.6922,79.5154,16.9765,79.6676,16.6221,79.4087
578025,Chalvai, Telangana 506344, India,18.2051,80.0996,18.21,80.1085,18.2014,80.0924
571510,Bonal, Telangana, India,18.2628,78.1165,18.2761,78.1256,18.2528,78.0813
577572,Telangana 508206, India,17.0067,79.9752,17.091,80.0611,16.9149,79.8736
573906,Hyderabad, Telangana 502319, India,17.6011,78.3026,17.674,78.3601,17.5143,78.2099
573358,Gousabad, Telangana 502221, India,17.5925,77.4645,17.6143,77.4837,17.5703,77.446
572822,Mahadev Palle, Telangana, India,18.176,77.8967,18.1924,77.9057,18.1586,77.885
577842,Chelpur, Telangana 506168, India,18.3705,79.8451,18.3759,79.855,18.3583,79.8299
802925,Telangana 509125, India,16.246,77.7223,16.3576,77.9396,16.1299,77.5283
570066,Dildarnagar, Telangana 504202, India,19.0356,78.7388,19.0381,78.7406,19.0335,78.7373
571777,Begumpet X raod - Gandhi Nagar(NRS) Rd, Nagepally, Telangana 505212, India,18.6291,79.5598,18.6297,79.5623,18.6287,79.557
575563,Marepalle, Telangana 509406, India,16.6626,78.2626,16.6723,78.2734,16.6568,78.2538
