569163,Guruj  Telangana  India,19.4812,78.515,19.4968,78.5362,19.4645,78.4911
570078,Adelli  Telangana 504110  India,19.2207,78.2554,19.2229,78.2578,19.2194,78.2541
570846,Jagriyal  Telangana 503307  India,18.7281,78.4581,18.7456,78.4709,18.7173,78.4394
574881,Mondi Gowrelly  Telangana 501509  India,17.0365,78.703,17.04,78.7065,17.0338,78.7015
576922,Telangana 508211  India,17.1782,79.4479,17.2268,79.5408,17.0826,79.3507
577741,Arvapalli  Telangana 506006  India,18.1029,79.5962,18.1057,79.5978,18.0985,79.5949
573848,Thogarpally  Telangana 502306  India,17.586,78.0231,17.5923,78.0277,17.5823,78.0176
579894,Kesireddipalle  Telangana 507201  India,16.8034,80.4827,16.8167,80.5169,16.7739,80.4658
576050,Kadukuntla  Telangana 509381  India,16.3113,77.9753,16.3149,77.9776,16.3072,77.9712
574710,Polaram  Telangana 509217  India,17.2128,78.1422,17.2195,78.1625,17.1923,78.1142
576636,Naseempet  Telangana  India,17.2527,79.7035,17.2669,79.714,17.2396,79.6911
579435,Uppalapadu  Telangana  India,17.6017,80.0703,17.6168,80.0837,17.5848,80.0551
577236,Mudigonda Bus Stop  Mudigonda  Telangana 508248  India,16.7389,78.8615,,,,
579543,Peddagollagudem  Telangana 507306  India,17.3189,81.0147,17.3711,81.0445,17.282,80.9739
571878,Medigadda  Telangana 505504  India,18.6928,80.2516,18.7052,80.2608,18.6722,80.2422
576233,Telangana 509125  India,16.246,77.7223,16.3576,77.9396,16.1299,77.5283
570638,Gangipally  Telangana 504216  India,18.8255,79.5842,18.8302,79.5871,18.8188,79.5806
575526,Baswaipalle  Telangana  India,16.6087,77.8882,16.6487,77.9171,16.5925,77.8623
577851,Peddapur  Telangana 506168  India,18.381,79.9053,18.387,79.91,18.3691,79.9001
574738,Ootpally  Hyderabad  Telangana 501218  India,17.2591,78.36,17.2634,78.3683,17.2527,78.3511
576376,Telangana 509135  India,15.9226,77.7223,16.0385,77.8322,15.8741,77.569
577065,Thanderpalle  Telangana 508004  India,17.0599,79.3339,17.0672,79.3397,17.0505,79.3287
577339,Bollaram Koppole  Telangana 508256  India,16.8658,79.1887,16.877,79.191,16.8543,79.167
577766,Vellampally  Telangana 506164  India,18.164,79.6692,18.1683,79.6731,18.1605,79.6655
569736,Buggaram  Telangana  India,19.2863,78.4439,19.2964,78.4628,19.2761,78.4367
569126,504312  India,19.7381,78.407,19.9168,78.5631,19.5969,78.2706
575479,Utkoor  Telangana  India,16.6427,77.4874,16.6617,77.5222,16.6212,77.4658
573417,Telangana 502246  India,17.7637,77.688,17.8148,77.7921,17.6906,77.6275
570590,Adilabad-Asifabad Rd  Telangana  India,19.4036,78.7609,19.406,78.7679,19.4016,78.7552
572903,Shalipet  Telangana 502113  India,18.0986,78.2327,18.0994,78.2356,18.0963,78.2314
571961,Mangapet  Telangana 505174  India,18.5295,79.483,18.5352,79.4891,18.5247,79.479
578239,Cheetakodur  Telangana 506167  India,17.7779,79.176,17.7828,79.1792,17.7734,79.1724
574563,Ainapur  Telangana 501502  India,17.0584,77.8181,17.0638,77.823,17.0553,77.8123
578096,Ramteertham  Telangana 506349  India,18.0513,79.8773,18.0591,79.8886,18.0424,79.8593
573687,Tunki Khalsa  Telangana  India,17.7574,78.5739,17.7597,78.5768,17.7509,78.5702
572559,Patharlapalle  Telangana 505122  India,18.2743,79.5575,18.288,79.5682,18.2652,79.5458
573040,Akkanepalle  Telangana  India,18.0627,79.0702,18.0861,79.0801,18.0488,79.0487
576355,Telangana 509102  India,16.1653,78.3387,16.3166,78.4545,16.0531,78.1724
577619,Ramannapet  Warangal  Telangana  India,17.9786,79.5842,17.9881,79.5969,17.9744,79.5794
579812,Vippala Madaka  Telangana  India,17.1243,80.4132,17.1344,80.4251,17.1091,80.3963
575210,Madhurapur  Telangana  India,16.981,78.2572,16.9842,78.2593,16.9787,78.2563
574038,Telangana 501111  India,17.4331,77.9853,17.5065,78.0924,17.3551,77.9183
579595,Raimadaram  Telangana  India,17.3834,80.3297,17.3999,80.3477,17.3728,80.3083
573777,Madapur  Telangana 502313  India,17.7099,78.2789,17.7204,78.2894,17.6993,78.2611
576028,Telangana 509381  India,16.3518,77.951,16.4151,78.0212,16.2663,77.868
569210,Kothapalle G  Telangana 504346  India,19.6127,78.95,19.6241,78.9582,19.5999,78.9452
573393,Siddapur Pattikohir  Andhra Pradesh  India,17.5445,77.625,17.5628,77.6409,17.5238,77.5964
572294,Munjampalli  Telangana  India,18.3834,79.1908,18.3879,79.1928,18.3803,79.1883
